category;items
plats au canard;678
boissons lactées fermentées;676
compléments pour le bodybuilding;675
pains au chocolat;672
crustacés;671
biscuits secs;669
barres de céréales;668
ravioli;667
champignons;658
sodas au cola;650
boissons au thé;643
crêpes;639
pâtés de porc;638
fruits à coques décortiqués;638
alcools artisanaux;634
donuts;632
moulages en chocolat;623
sels;617
pâtes à tartiner aux noisettes et au cacao;617
terrines de campagne;614
viandes fraîches;612
jus d'orange pur jus;610
fromages à pâte persillée;607
fromages à pâte filée;604
bananes;603
œufs de poules;602
jus de fruits à base de concentré;600
yaourts brassés;598
fromages râpés;594
aliments de pâques;594
sardines à l'huile d'olive;590
céréales au chocolat;587
pommes de terre préfrites surgelées;586
ketchup;585
rillettes de viande blanche;579
sauces pesto;579
lentilles;578
fruits en conserve;578
sauces pour pâtes;576
produits de montagne;576
pizzas et tartes surgelées;576
beurres de fruits à coques;576
pâtés de campagne;575
plantes aromatiques;573
chewing gum;571
rillettes de volaille;571
miels français;570
yaourts à boire;568
fromages des pays bas;561
taboulés;560
thons en conserve;557
gaufres;557
vinaigrettes;557
fromages à tartiner;549
sirops simples;549
tapenades;547
maquereaux;546
jus de pommes pur jus;541
fromages industriels;540
tomates;540
plats préparés déshydratés;538
bières artisanales;536
soupes de poissons;534
spaghetti;533
gratins;531
purées;529
oignons et dérivés;529
margarines;524
alcools forts;521
chips de pommes de terre aromatisées;520
crevettes;516
macarons;515
galettes des rois;513
bières françaises;510
thons à l'huile;510
foies gras de canard entiers;508
tartelettes;507
yaourts aromatisés;505
non alimentaire;505
yaourts à la grecque;499
chips de maïs;497
beurres demi sel;497
entrées;497
abats;494
mozzarella;488
cidres;486
houmous;484
chocolats en poudre;484
mollusques;484
boudins blancs;484
aiguillettes de poulet;481
mueslis aux fruits;480
pickles de légumes;480
pains grillés;478
fromages à pâte persillée français;478
pâtes à tarte;477
pizzas surgelées;476
yaourts au lait de vache;474
fruits au sirop;473
emmentals français;471
filets de maquereaux;469
vinaigres balsamiques;468
thons au naturel;467
yaourts entiers;467
saumons fumés d'élevage;466
préparations de viande bovine;465
boissons light;463
tartes salées;463
vins blancs;462
cacahuètes;461
noix de cajou;461
reblochons;460
riz parfumés;458
lasagnes préparées;457
pâtes fraîches;457
desserts végétaliens;456
confitures de framboises;455
farines de blé;454
camemberts;453
cookies au chocolat;449
miels d'acacia;448
eaux de vie;448
confitures multifruits;448
nougats;448
allumettes de porc;447
terrines de volailles;447
biscuits au chocolat au lait;445
herbes aromatiques;442
nouilles instantanées;440
chocolats aux noisettes;439
haricots verts;438
galettes de riz soufflé;438
bordeaux;437
fromages en tranches;435
riz de variété indica;432
préparations pour desserts;430
croûtons;429
canards;427
abricots secs;427
sodas aux fruits;427
viandes séchées;423
yaourts au lait de brebis;418
parmigiano reggiano;418
assortiments de bonbons de chocolat;415
goudas;414
sodas light;412
soupes déshydratées;410
lardons de porc;408
chocolats blancs;407
jambons serrano;406
biscottes;401
croissants;400
pizzas au fromage;399
caramels;399
chocolats fourrés;399
puddings;397
goûters et desserts pour bébé;396
beurres de cacahuètes;395
beurres de légumineuses;395
haricots;394
moutardes de dijon;394
viandes surgelées;394
bouillons déshydratés;386
gnocchi;386
cassoulets;385
surimi;385
spiruline;384
crèmes épaisses;383
terrines de canard;382
biscuits apéritifs soufflés;382
plats principaux pour bébé;382
pickles de concombres;381
gaufrettes;379
open beauty facts;379
aides à la pâtisserie;378
barres protéinées;377
fruits rouges;376
eaux minérales naturelles;375
olives dénoyautées;374
eaux gazeuses;374
confitures d'agrumes;373
filets d'anchois;372
confitures de figues;370
sels marins;369
jus multifruits pur jus;368
produits sans gluten;366
plats préparés feuilletés;366
produits labellises;365
emmentals râpés;365
assaisonnements;364
quenelles;362
confitures de myrtilles;362
amandes décortiquées;362
fromages de montagne;358
fromages à pâte molle à croûte lavée;358
cafés moulus;357
fruits à coque grillés;357
thés noirs;356
gâteaux et pâtisseries surgelés;356
plats à base de semoule;355
haricots en conserve;354
tuiles salées;354
cornichons;353
graines de tournesol et dérivés;352
rillettes de canard;351
poulets panés;347
carottes râpées;347
mousses salées;346
bûches de noël;345
boissons énergisantes;344
boissons végétales de céréales;344
semoules de céréales;344
asperges;344
laits pour bébé;344
sandwichs garnis de charcuteries;341
beurres de crème douce;341
vinaigres balsamiques de modène;341
dès 6 mois;339
champignons en conserve;339
crèmes de marrons;338
truites;338
épinards;338
tommes;337
chewing gum sans sucres;336
huiles de fruits et graines de fruits;336
jambons de volaille;336
dattes;335
baguettes;334
mélanges de fruits secs;334
soupes froides;332
salades de légumes;332
aliments et boissons à base de légumes;332
filets d'anchois marinés;332
poissons panés;331
pommes de terre;328
haricots verts en conserve;328
vins effervescents;323
œufs de pâques;322
gressins;322
chocolats aux amandes;321
harengs;319
limonades;318
œufs de poules élevées en plein air;316
frites;316
yaourts vanille;315
laits de coco;315
filets d'anchois marinés à l'huile végétale;315
brownies;314
truites fumées;313
mousses au chocolat;313
bries;312
riz au lait;310
margarines allégées;309
compotes à boire;308
boissons aux légumes;308
riz basmati;307
poivres;306
sauces dessert;306
morbiers;306
tartines craquantes;306
fruits à coque salés;305
nems;305
mueslis au chocolat;305
corn flakes;304
crèmes dessert chocolat;304
thés aromatisés;303
huiles de fruits à coques;302
fromages à pâte fondue;302
préparations de viande hachée;302
chorizo;301
saucissons secs pur porc;300
eaux aromatisées;300
