category;items
boissons lactées fermentées;674
compléments pour le bodybuilding;672
pains au chocolat;670
plats au canard;670
biscuits secs;666
crustacés;665
ravioli;661
barres de céréales;656
champignons;655
sodas au cola;647
boissons au thé;640
fruits à coques décortiqués;637
pâtés de porc;634
crêpes;634
donuts;631
moulages en chocolat;623
alcools artisanaux;623
sels;614
terrines de campagne;613
viandes fraîches;612
pâtes à tartiner aux noisettes et au cacao;612
jus d'orange pur jus;609
fromages à pâte persillée;604
fromages à pâte filée;602
œufs de poules;601
yaourts brassés;597
jus de fruits à base de concentré;596
aliments de pâques;592
fromages râpés;588
céréales au chocolat;587
sardines à l'huile d'olive;587
pommes de terre préfrites surgelées;583
ketchup;582
rillettes de viande blanche;579
sauces pesto;576
pizzas et tartes surgelées;575
produits de montagne;573
lentilles;572
fruits en conserve;572
sauces pour pâtes;571
pâtés de campagne;571
beurres de fruits à coques;571
rillettes de volaille;571
chewing gum;570
miels français;569
plantes aromatiques;567
yaourts à boire;567
fromages des pays bas;559
taboulés;558
vinaigrettes;557
gaufres;554
thons en conserve;551
sirops simples;549
fromages à tartiner;546
maquereaux;545
tapenades;544
fromages industriels;540
jus de pommes pur jus;539
plats préparés déshydratés;534
tomates;532
soupes de poissons;532
spaghetti;531
gratins;529
purées;527
oignons et dérivés;527
bières artisanales;525
margarines;522
alcools forts;518
chips de pommes de terre aromatisées;516
macarons;512
crevettes;511
bières françaises;509
thons à l'huile;509
galettes des rois;509
tartelettes;506
foies gras de canard entiers;505
yaourts aromatisés;505
non alimentaire;504
yaourts à la grecque;498
beurres demi sel;497
chips de maïs;495
entrées;493
abats;493
mozzarella;487
cidres;485
boudins blancs;484
houmous;482
mollusques;482
chocolats en poudre;481
mueslis aux fruits;479
aiguillettes de poulet;479
pâtes à tarte;477
fromages à pâte persillée français;476
pizzas surgelées;475
pains grillés;475
pickles de légumes;472
fruits au sirop;469
yaourts au lait de vache;468
filets de maquereaux;468
emmentals français;468
thons au naturel;467
vinaigres balsamiques;467
saumons fumés d'élevage;466
préparations de viande bovine;465
yaourts entiers;465
boissons light;462
vins blancs;462
tartes salées;460
cacahuètes;459
reblochons;459
noix de cajou;458
pâtes fraîches;457
lasagnes préparées;456
riz parfumés;455
confitures de framboises;454
desserts végétaliens;453
cookies au chocolat;450
farines de blé;450
camemberts;448
allumettes de porc;447
terrines de volailles;447
nougats;447
eaux de vie;446
miels d'acacia;445
confitures multifruits;444
biscuits au chocolat au lait;444
galettes de riz soufflé;439
haricots verts;438
bordeaux;437
nouilles instantanées;437
herbes aromatiques;437
chocolats aux noisettes;436
fromages en tranches;431
préparations pour desserts;430
riz de variété indica;429
croûtons;429
canards;427
sodas aux fruits;427
viandes séchées;422
yaourts au lait de brebis;418
parmigiano reggiano;418
assortiments de bonbons de chocolat;413
goudas;413
sodas light;410
lardons de porc;408
soupes déshydratées;408
jambons serrano;406
chocolats blancs;404
biscottes;401
bananes;399
pizzas au fromage;398
caramels;397
goûters et desserts pour bébé;396
chocolats fourrés;396
croissants;395
haricots;393
moutardes de dijon;393
puddings;393
beurres de cacahuètes;391
beurres de légumineuses;391
viandes surgelées;387
gnocchi;385
bouillons déshydratés;384
spiruline;382
terrines de canard;382
surimi;382
biscuits apéritifs soufflés;382
crèmes épaisses;381
plats principaux pour bébé;381
cassoulets;379
abricots secs;379
gaufrettes;378
barres protéinées;378
open beauty facts;377
aides à la pâtisserie;377
fruits rouges;375
olives dénoyautées;374
eaux minérales naturelles;374
pickles de concombres;374
filets d'anchois;373
confitures d'agrumes;372
eaux gazeuses;371
sels marins;369
confitures de figues;368
jus multifruits pur jus;368
plats préparés feuilletés;366
produits sans gluten;365
produits labellises;365
amandes décortiquées;362
emmentals râpés;362
confitures de myrtilles;361
assaisonnements;360
quenelles;359
cafés moulus;357
fromages à pâte molle à croûte lavée;356
fruits à coque grillés;355
fromages de montagne;355
gâteaux et pâtisseries surgelés;355
haricots en conserve;354
tuiles salées;354
plats à base de semoule;351
rillettes de canard;351
graines de tournesol et dérivés;349
cornichons;348
carottes râpées;347
thés noirs;345
mousses salées;345
bûches de noël;344
boissons végétales de céréales;344
poulets panés;344
laits pour bébé;344
boissons énergisantes;342
asperges;342
sandwichs garnis de charcuteries;341
beurres de crème douce;341
vinaigres balsamiques de modène;340
dès 6 mois;339
épinards;338
champignons en conserve;338
truites;337
semoules de céréales;336
chewing gum sans sucres;335
crèmes de marrons;335
tommes;335
huiles de fruits et graines de fruits;335
jambons de volaille;335
mélanges de fruits secs;334
baguettes;332
soupes froides;332
filets d'anchois marinés;332
dattes;332
salades de légumes;331
poissons panés;329
aliments et boissons à base de légumes;328
haricots verts en conserve;328
vins effervescents;322
chocolats aux amandes;321
œufs de pâques;321
gressins;320
pommes de terre;320
limonades;316
œufs de poules élevées en plein air;316
filets d'anchois marinés à l'huile végétale;315
yaourts vanille;314
brownies;313
frites;313
truites fumées;312
harengs;312
laits de coco;312
mousses au chocolat;311
bries;310
margarines allégées;309
compotes à boire;308
riz au lait;308
riz basmati;306
morbiers;306
tartines craquantes;306
corn flakes;306
sauces dessert;305
boissons aux légumes;305
fruits à coque salés;304
nems;304
poivres;303
mueslis au chocolat;302
fromages à pâte fondue;302
préparations de viande hachée;302
crèmes dessert chocolat;301
huiles de fruits à coques;300
eaux aromatisées;300
chorizo;300
carottes râpées assaisonnées;299
saucissons secs pur porc;299
faisselles;299
gaufrettes fourrées;299
gnocchi de pommes de terre;297
gratins de pomme de terre;296
liqueurs;295
petits pois;295
pruneaux;294
fromages blancs natures;294
thés aromatisés;293
ratatouilles;292
boissons végétales de légumineuses;291
boissons végétales de soja;291
noix;291
crèmes fraîches;290
gelées de fruits;290
galettes à la frangipane;290
thons à l'huile d'olive;287
olives noires;286
carottes;285
poissons surgelés;285
cafés solubles;283
choucroutes;283
sirops d'érable;283
vins rosés;283
pistaches;282
agrumes;282
yaourts au bifidus;281
brandades de morue;280
jus de légumes;280
rillettes de viande rouge;280
céréales en conserve;279
sauces à la viande;277
maïs en conserve;276
salades de pâtes;275
galettes;275
lardons de porc fumés;275
bâtonnets glacés;274
popcorn;274
raclettes;272
moules;271
rillettes de porc;271
lasagnes à la bolognaise;270
muffins;269
bûches glacées;269
thons blancs;268
sauces barbecue;268
salades vertes;267
saucisses de strasbourg;266
steaks végétaux;266
sandwichs au jambon;266
champignons de paris en conserve;266
gaspacho;265
semoules de blé;265
penne rigate;264
sauces au soja;264
maquereaux en conserve;264
cacahuètes grillées;263
olives vertes dénoyautées;263
jus de raisin;263
pestos au basilic;263
salades au thon;262
céréales préparées;262
magrets de canard;262
biscuits feuilletés;261
vinaigres de vin;261
sandwichs à la volaille;261
blancs de poulet;261
confiseries de fruits à coques;259
cafés en dosettes compatible nespresso;258
biscuits au chocolat noir;258
quiches;258
produits à teneur réduite en sel;257
confitures de cerises;257
purées de pommes de terre;257
palets;257
produits tripiers;256
saucisses de toulouse;256
rillettes de thon;255
pommes;255
cakes aux fruits;254
nuggets de poulet;251
laits entiers;251
vinaigres de cidre;249
œufs de poisson;249
cordons bleus;249
boissons végétales de fruits à coque;247
sandwichs au poulet;246
salades de pommes de terre;245
huiles de coco;245
sauces bolognaises;244
pains complets;244
jus d'ananas;244
petits pois en conserve;244
tomates fraîches;243
bloc de foie gras de canard;243
sodas au cola light;243
bananes séchées;243
thons tropicaux;242
jus de citron;242
quinoa;242
fromages à pâte molle à croûte naturelle;241
pâtes feuilletées;241
pâtes aux œufs;241
tomates en conserve;240
artichauts;240
miels crémeux;239
fromages fondus;239
coulis de fruits;238
confitures de prunes;238
compotes pommes poires;237
chocolats au lait aux noisettes;236
brioches au chocolat;236
fromages du nord pas de calais;236
canneberges séchées;235
yaourts brassés aux fruits;235
semoules de blé dur;235
petits beurres;235
mimolettes;235
poêlées;234
nectars multifruits;232
maïs doux en conserve;232
pruneaux d'agen;232
compotes pommes nature;231
olives farcies;230
ail et dérivés;230
haricots blancs;230
produits végétaux fermentés;230
roqueforts;229
yaourts végétaux;229
côtes du rhône;229
charcuteries à teneur réduite en sel;229
viandes d'agneau;228
marmelades;228
crêpes de froment;228
petits pois et carottes en conserve;227
céréales fourrées;226
galettes de blé noir;226
confits d'oignons;226
madeleines au chocolat;226
tapenades noires;226
produits de la plante de courge;225
desserts lactés au chocolat;225
pavés de saumon;224
calissons;222
salamis;222
confiseries de france;222
croissants au beurre;222
taramas;221
confitures de fruits tropicaux;221
algues et dérivés;220
thons albacore;220
aliments a base de plantes seches;220
blancs de dinde;220
laits d'amande;219
yaourts sur lit de fruits;219
produits sous license;218
sandwichs au fromage;217
tartes aux pommes;216
purées de légumes;215
cônes;215
saucisses sèches;215
bières blanches;215
escalopes de dinde panees;213
calendriers de l'avent;213
huiles de tournesol;213
smoothies;213
viande de lapin;213
sirops de grenadine;213
palmiers;213
bacon;212
paëllas;212
petits pains grillés;212
foies gras mi cuits;212
olives vertes farcies;211
champagnes;211
raisins secs;211
sirops de menthe;211
frites surgelées;211
biscuits apéritifs soufflés à base de maïs;210
succédanés du sucre;210
merguez;209
bières belges;209
champignons de paris;209
entrées froides;209
pains au lait;209
cancoillottes;209
fromages de grèce;208
huiles de colza;208
brandades de morue parmentière;207
œufs frais;207
sels non raffinés;206
sandwichs aux crudités;205
oignons;205
sucres de canne;205
brochettes;204
flocons d'avoine;204
nonnettes;203
brioches pur beurre;203
yaourts à la fraise;202
glaces à la vanille;202
escargots;201
tagliatelles;201
coeurs d'artichauts;201
tourons aux amandes;200
bières ambrées;200
feta;200
laits écrémés;199
bouillons de légumes;199
cerneaux de noix;198
escalopes de dinde marinees a la milanaise;197
préparations pour gâteaux;197
noisettes;196
grains soufflées;195
mélanges d'épices;195
tisanes de plantes mélangées;195
thons à l'huile de tournesol;194
plats au saumon;194
légumes séchés;194
céréales soufflées;194
choucroutes garnies;193
produits aoc;193
brioches tranchées;193
fleurs de sel;193
rôtis de porc;193
bouillons cubes;192
cantal;192
coquillettes;192
meringues;192
fruits à coque au chocolat;192
pâtes à tartiner au caramel;191
laits de vache;191
rosettes;191
biscuits tablette de chocolat;190
crèmes entières;190
morues;190
saucisses de volaille;189
mousses de foies;189
sardines à la tomate;189
chocolats noirs extra fin;188
pois chiches;188
gésiers;187
caramels au beurre salé;187
desserts lactés aux œufs;186
chocolats noirs aux amandes;186
lentilles vertes;186
couscous préparés;186
beaufort;186
pains plats;184
yaourts brassés nature;184
risottos;184
tomates séchées;184
charcuteries à cuire;183
jambons blancs à teneur réduite en sel;182
purées en flocons;182
graines de courge et dérivés;181
rillettes de saumon;181
grana padano;181
riz préparés;180
souris d agneau;180
pâtes brisées;180
chocolats fourrés au praliné;180
barres de céréales au chocolat;179
pains de mie complet;179
œufs en chocolat creux;178
jus d'orange à base de concentré;178
côtes de porc;178
sirops de fraise;177
steaks hachés frais;177
blinis;177
confitures de lait;176
lapins en chocolat;176
guimauves;175
pâtes de fruits;175
chocolats au lait fourrés;175
truffes en chocolat;175
tapenades vertes;175
caviars d'aubergine;175
crèmes légères;175
laits aromatisés;175
amandes grillées;174
fromages au lait de bufflonne;174
beurres doux;173
flans gélifiés;173
farines de fruits à coques;173
huiles de noix;173
piments;172
beurres pasteurisés;172
hamburgers;172
salades piémontaises;171
camemberts au lait cru;171
ravioles;171
épinards surgelés;171
cacaos en poudre;171
pains de seigle;170
marrons glacés;170
betteraves;169
yaourts allégés en matière grasse;169
filets de harengs;169
quenelles nature;169
andouillettes;169
miels de châtaignier;169
pâtes de curry;169
vinaigrettes allégées en matières grasses;168
boudins noirs;168
miels liquides;168
boissons au riz;168
sardines à l'huile de tournesol;167
semoules de blé dur pour couscous;167
jus de pamplemousse;167
chocolats salés;167
yaourts au soja;166
eau tonique;166
steaks hachés de bœuf frais;166
tiramisu;166
brioches tressées;166
crèmes liquides;166
nectars d'abricot;166
confitures de légumes;165
saint nectaire;164
spaghettis de blé dur;164
miels de lavande;164
filets de poulet fermier;164
bretzels;163
petits beurres with chocolate;163
eaux minérales gazeuses;163
pâtés de foie;163
pizzas aux quatre fromages;162
guacamoles;162
quiches lorraines;162
crèmes dessert vanille;161
tomates cerise;161
chaussons aux pommes;160
escalopes;160
